dan	d a n
tahu	t a h u
memakai	m ə m a k a j
sektor	s ə k t o r
perbatasan	p ə r b a t a s a n
rekaman	r e k a m a n
beroperasi	b ə r o p ə r a s i
sesuatu	s ə s u a t u
keseluruhan	k ə s e l u r u h a n
dewi	d e w i
abdul	a b d u l
pelayanan	p ə l a j a n a n
pemberontakan	p ə m b ə r o n t a k a n
global	ɡ l o b a l
konflik	k o n f l i k
kalender	k a l e n d ə r
menjadikan	m ə n d͡ʒ a d i k a n
pejabat	p ə d͡ʒ a b a t
edisi	e d i s i
mm	m m
digantikan	d i ɡ a n t i k a n
memasuki	m ə m a s u k i
semarang	s ə m a r a ŋ
hijau	h i d͡ʒ a w
pendiri	p ə n d i r i
diikuti	d i i k u t i
imam	i m a m
teluk	t ə l u ʔ
aplikasi	a p l i k a s i
jaya	d͡ʒ a j a
menyelesaikan	m ə ɲ ə l e s a i k a n
perwakilan	p ə r w a k i l a n
lintas	l i n t a s
abu	a b u
gelombang	ɡ ə l o m b a ŋ
lanjut	l a n d͡ʒ u t
lewat	l e w a t
iklim	i k l i m
memang	m e m a ŋ
menjelaskan	m ə n d͡ʒ ə l a s k a n
vokal	v o k a l
sebagaimana	s ə b a ɡ a j m a n a
ibunya	i b u ɲ a
revolusi	r e v o l u s i
menggambarkan	m ə ŋ ɡ a m b a r k a n
alkitab	a l k i t a b
diterima	d i t ə r i m a
percaya	p ə r t͡ʃ a j a
bus	b a s
direktur	d i r e k t u r
fisika	f i s i k a
kalinya	k a l i ɲ a
fisik	f i s i k
y	j
singel	s i ŋ ə l
ternyata	t ə r ɲ a t a
www	w w w
latar	l a t a r
berfungsi	b ə r f u ŋ s i
dana	d a n a
kehilangan	k ə h i l a ŋ a n
kementerian	k ə m e n t ə r i a n
ma	e m a
laporan	l a p o r a n
dibuka	d i b u k a
wali	w a l i
sederhana	s ə d ə r h a n a
dihasilkan	d i h a s i l k a n
belas	b ə l a s
bukti	b u k t i
dilihat	d i l i h a t
berbahasa	b ə r b a h a s a
menit	m ə n i t
sebutan	s ə b u t a n
artikel	a r t i k ə l
batang	b a t a ŋ
austria	a u s t r i a
cm	t͡ʃ m
penampilan	p ə n a m p i l a n
balapan	b a l a p a n
dokter	d o k t ə r
berkata	b ə r k a t a
menara	m ə n a r a
le	l e
aksara	a k s a r a
terbatas	t ə r b a t a s
makam	m a k a m
airlines	a i r l i n ə s
pariwisata	p a r i w i s a t a
sulit	s u l i t
kiri	k i r i
relatif	r e l a t i f
memainkan	m ə m a i n k a n
potensi	p o t e n s i
urutan	u r u t a n
setempat	s ə t ə m p a t
besi	b ə s i
kategori	k a t ə ɡ o r i
tiba	t i b a
ilmiah	i l m i a h
mengurangi	m ə ŋ u r a ŋ i
solo	s o l o
pendukung	p ə n d u k u ŋ
pesisir	p ə s i s i r
menentukan	m ə n ə n t u k a n
menghadapi	m ə ŋ h a d a p i
diubah	d i u b a h
rute	r u t ə
karang	k a r a ŋ
bagaimana	b a ɡ a i m a n a
etnis	e t n i s
faktor	f a k t o r
penjualan	p ə n d͡ʒ u a l a n
armada	a r m a d a
pajak	p a d͡ʒ a ʔ
ki	k i
game	ɡ a m ə
menganggap	m ə ŋ a ŋ ɡ a p
kabinet	k a b i n e t
daging	d a ɡ i ŋ
kanan	k a n a n
majelis	m a d͡ʒ ə l i s
kompetisi	k o m p e t i s i
memenuhi	m ə m ə n u h i
kuning	k u n i ŋ
lapisan	l a p i s a n
es	e s
pukul	p u k u l
vietnam	v i e t n a m
keberadaan	k ə b ə r a d a a n
hadiah	h a d i a h
berhubungan	b ə r h u b u ŋ a n
delapan	d ə l a p a n
sutradara	s u t r a d a r a
diantaranya	d i a n t a r a ɲ a
perintah	p ə r i n t a h
sumatra	s u m a t r a
mi	e m i
malang	m a l a ŋ
kabar	k a b a r
demi	d ə m i
kadang-kadang	k a d a ŋ k a d a ŋ
nuklir	n u k l i r
kong	k o ŋ
motor	m o t o r
uskup	u s k u p
menguasai	m ə ŋ u a s a j
individu	i n d i v i d u
man	m a n
melayani	m ə l a j a n i
komandan	k o m a n d a n
inilah	i n i l a h
komponen	k o m p o n e n
dulu	d u l u
hong	h o ŋ
perkebunan	p ə r k ə b u n a n
tahap	t a h a p
dewasa	d e w a s a
berlaku	b ə r l a k u
klasik	k l a s i k
bogor	b o ɡ o r
mengakibatkan	m ə ŋ a k i b a t k a n
kejadian	k ə d͡ʒ a d i a n
pandangan	p a n d a ŋ a n
arsitektur	a r s i t e k t u r
langit	l a ŋ i t
antar	a n t a r
halaman	h a l a m a n
ajaran	a d͡ʒ a r a n
swiss	s u w i s
biru	b i r u
nobel	n o b ə l
tercatat	t ə r t͡ʃ a t a t
brasil	b r a s i l
kepercayaan	k ə p ə r t͡ʃ a j a a n
lebar	l e b a r
disebutkan	d i s ə b u t k a n
angin	a ŋ i n
tulisan	t u l i s a n
nominasi	n o m i n a s i
paul	p a u l
pernikahan	p ə r n i k a h a n
naskah	n a s k a h
diperlukan	d i p ə r l u k a n
campuran	t͡ʃ a m p u r a n
planet	p l a n e t
dikatakan	d i k a t a k a n
konser	k o n s ə r
indah	i n d a h
prasasti	p r a s a s t i
terpisah	t ə r p i s a h
kalah	k a l a h
yayasan	j a j a s a n
pemuda	p ə m u d a
ikatan	i k a t a n
kontrak	k o n t r a k
macam	m a t͡ʃ a m
staf	s t a f
sekutu	s ə k u t u
inti	i n t i
apakah	a p a k a h
irlandia	i r l a n d i a
melewati	m ə l e w a t i
sebab	s ə b a b
ayat	a j a t
pop	p o p
swedia	s w ə d i a
persen	p ə r s e n
sekretaris	s e k r ə t a r i s
terjun	t ə r d͡ʒ u n
metal	m e t a l
pekerja	p e k ə r d͡ʒ a
kedokteran	k ə d o k t ə r a n
buruh	b u r u h
me	m ə
memproduksi	m ə m p r o d u k s i
protestan	p r o t e s t a n
prefektur	p r e f e k t u r
nusantara	n u s a n t a r a
ganda	ɡ a n d a
mewakili	m e w a k i l i
college	t͡ʃ o l l ə ɡ e
teks	t e k s
berkaitan	b ə r k a i t a n
cina	t͡ʃ i n a
akademi	a k a d e m i
panglima	p a ŋ l i m a
berhenti	b ə r h ə n t i
kesempatan	k ə s ə m p a t a n
menyebutkan	m ə ɲ ə b u t k a n
filmografi	f i l m o ɡ r a f i
pustaka	p u s t a k a
daratan	d a r a t a n
benteng	b e n t e ŋ
gitar	ɡ i t a r
setengah	s ə t e ŋ a h
teman	t ə m a n
lain-lain	l a i n l a i n
komersial	k o m ə r s i a l
komando	k o m a n d o
menimbulkan	m ə n i m b u l k a n
jurusan	d͡ʒ u r u s a n
marga	m a r ɡ a
misi	m i s i
komunis	k o m u n i s
simbol	s i m b o l
pemilik	p ə m i l i ʔ
membeli	m ə m b ə l i
dilaksanakan	d i l a k s a n a k a n
mencetak	m ə n t͡ʃ e t a k
melaksanakan	m ə l a k s a n a k a n
institut	i n s t i t u t
contohnya	t͡ʃ o n t o h ɲ a
pasal	p a s a l
arti	a r t i
go	ɡ o
cirebon	t͡ʃ i r ə b o n
rujukan	r u d͡ʒ u k a n
lambang	l a m b a ŋ
thailand	t h a i l a n d
demografi	d e m o ɡ r a f i
rp	r p
profesional	p r o f e s i o n a l
sini	s i n i
matematika	m a t ə m a t i k a
konstitusi	k o n s t i t u s i
kecelakaan	k ə t͡ʃ ə l a k a a n
pakaian	p a k a j a n
buatan	b u a t a n
jarang	d͡ʒ a r a ŋ
menjalankan	m ə n d͡ʒ a l a n k a n
menjaga	m ə n d͡ʒ a ɡ a
inf	i n f
perhatian	p ə r h a t i a n
iran	i r a n
artis	a r t i s
benar	b ə n a r
persatuan	p ə r s a t u a n
hungaria	h u ŋ a r i a
pertunjukan	p ə r t u n d͡ʒ u k a n
utamanya	u t a m a ɲ a
hulu	h u l u
menghubungkan	m ə ŋ h u b u ŋ k a n
alami	a l a m i
sudut	s u d u t
kuda	k u d a
puluh	p u l u h
tema	t ə m a
pilihan	p i l i h a n
volume	v o l u m e
pelatih	p ə l a t i h
membutuhkan	m ə m b u t u h k a n
lengkap	l ə ŋ k a p
laboratorium	l a b o r a t o r i u m
anime	a n i m e
tulang	t u l a ŋ
mengatur	m ə ŋ a t u r
ton	t o n
tampak	t a m p a k
ulama	u l a m a
arus	a r u s
china	x i n a
memegang	m ə m ə ɡ a ŋ
satelit	s a t ə l i t
peralatan	p ə r a l a t a n
sepuluh	s ə p u l u h
pendapat	p ə n d a p a t
tuan	t u a n
lampung	l a m p u ŋ
elektron	e l e k t r o n
pahlawan	p a h l a w a n
dinamakan	d i n a m a k a n
kampus	k a m p u s
seiring	s e i r i ŋ
analisis	a n a l i s i s
kuil	k u i l
calon	t͡ʃ a l o n
sekitarnya	s ə k i t a r ɲ a
prajurit	p r a d͡ʒ u r i t
serupa	s ə r u p a
mempelajari	m ə m p ə l a d͡ʒ a r i
pendapatan	p ə n d a p a t a n
musuh	m u s u h
samping	s a m p i ŋ
kopi	k o p i
anda	a n d a
dinyatakan	d i ɲ a t a k a n
sarjana	s a r d͡ʒ a n a
buruk	b u r u ʔ
ringan	r i ŋ a n
kualitas	k u a l i t a s
obat	o b a t
dibawa	d i b a w a
nya	ɲ a
peringatan	p ə r i ŋ a t a n
sensus	s e n s u s
tertua	t ə r t u a
menduduki	m ə n d u d u k i
reformasi	r e f o r m a s i
merebut	m ə r ə b u t
perpustakaan	p ə r p u s t a k a a n
semuanya	s ə m u a ɲ a
pedagang	p ə d a ɡ a ŋ
bersamaan	b ə r s a m a a n
geografis	ɡ e o ɡ r a f i s
seluas	s ə l u a s
padi	p a d i
pasir	p a s i r
gempa	ɡ ə m p a
layar	l a j a r
poin	p o i n
filsafat	f i l s a f a t
kebun	k ə b u n
telepon	t e l e p o n
ilmuwan	i l m u w a n
taiwan	t a j w a n
peserta	p ə s ə r t a
akses	a k s e s
federal	f e d ə r a l
maju	m a d͡ʒ u
mau	m a w
menetapkan	m ə n e t a p k a n
ajang	a d͡ʒ a ŋ
siswa	s i s w a
menjual	m ə n d͡ʒ u a l
mas	m a s
membuatnya	m ə m b u a t ɲ a
sayap	s a j a p
galeri	ɡ a l e r i
molekul	m o l ə k u l
tersebar	t ə r s ə b a r
lomba	l o m b a
zona	z o n a
kepemimpinan	k ə p ə m i m p i n a n
kalau	k a l a w
kepadatan	k ə p a d a t a n
komisi	k o m i s i
terbuat	t ə r b u a t
karbon	k a r b o n
harapan	h a r a p a n
el	e l
persia	p ə r s i a
boleh	b o l e h
pola	p o l a
kilometer	k i l o m e t ə r
perjuangan	p ə r d͡ʒ u a ŋ a n
mendorong	m ə n d o r o ŋ
timor	t i m o r
kelapa	k ə l a p a
perak	p e r a k
mayor	m a j o r
batak	b a t a k
meksiko	m e k s i k o
kristus	k r i s t u s
berpendapat	b ə r p ə n d a p a t
dayak	d a j a k
dijual	d i d͡ʒ u a l
tepatnya	t ə p a t ɲ a
tiap	t i a p
blok	b l o k
aksi	a k s i
kapten	k a p t e n
beserta	b ə s e r t a
formula	f o r m u l a
tari	t a r i
kongres	k o ŋ r e s
banten	b a n t e n
pbb	p e b e b e
beragam	b ə r a ɡ a m
portugis	p o r t u ɡ i s
protein	p r o t e i n
disingkat	d i s i ŋ k a t
menawarkan	m ə n a w a r k a n
menghancurkan	m ə ŋ h a n t͡ʃ u r k a n
bertugas	b ə r t u ɡ a s
rekor	r e k o r
bulu	b u l u
kaya	k a j a
positif	p o s i t i f
terjadinya	t ə r d͡ʒ a d i ɲ a
surakarta	s u r a k a r t a
sembilan	s ə m b i l a n
bapak	b a p a ʔ
kota-kota	k o t a k o t a
makassar	m a k a s a r
berbicara	b ə r b i t͡ʃ a r a
berkebangsaan	b ə r k ə b a ŋ s a a n
pemilu	p ə m i l u
elektronik	e l e k t r o n i k
pengusaha	p ə ŋ u s a h a
mengirim	m ə ŋ i r i m
teater	t e a t ə r
dalamnya	d a l a m ɲ a
perilaku	p ə r i l a k u
pesan	p ə s a n
permintaan	p ə r m i n t a a n
maluku	m a l u k u
diselenggarakan	d i s ə l ə ŋ ɡ a r a k a n
pernyataan	p ə r ɲ a t a a n
kursi	k o r s i
pasti	p a s t i
menang	m ə n a ŋ
kudus	k u d u s
kelima	k ə l i m a
mundur	m u n d u r
los	l o s
gadis	ɡ a d i s
sebaliknya	s ə b a l i k ɲ a
dilahirkan	d i l a h i r k a n
penemuan	p ə n ə m u a n
dilengkapi	d i l ə ŋ k a p i
pp	p e p e
gigi	ɡ i ɡ i
makhluk	m a x l u k
santo	s a n t o
injil	i n d͡ʒ i l
cenderung	t͡ʃ ə n d ə r u ŋ
remaja	r ə m a d͡ʒ a
binatang	b i n a t a ŋ
balai	b a l a i
pembunuhan	p ə m b u n u h a n
ka	k a
keluarganya	k ə l u a r ɡ a ɲ a
diluncurkan	d i l u n t͡ʃ u r k a n
diperoleh	d i p ə r o l e h
hukuman	h u k u m a n
istrinya	i s t r i ɲ a
ayam	a j a m
foto	f o t o
format	f o r m a t
top	t o p
isi	i s i
kampanye	k a m p a ɲ ə
nyata	ɲ a t a
pulang	p u l a ŋ
riau	r i a w
benua	b ə n u a
sinetron	s i n e t r o n
mencegah	m ə n t͡ʃ ə ɡ a h
alih	a l i h
induk	i n d u k
dialek	d i a l e k
rahasia	r a h a s i a
belgia	b e l ɡ i a
hilang	h i l a ŋ
murid	m u r i d
lulus	l u l u s
denmark	d e n m a k
tergantung	t ə r ɡ a n t u ŋ
disutradarai	d i s u t r a d a r a i
z	s
harian	h a r i a n
biografi	b i o ɡ r a f i
perlindungan	p ə r l i n d u ŋ a n
puisi	p u i s i
kembar	k ə m b a r
melainkan	m ə l a i n k a n
suka	s u k a
kepentingan	k ə p ə n t i ŋ a n
risiko	r i s i k o
zat	z a t
skala	s k a l a
pelaksanaan	p ə l a k s a n a a n
wilayahnya	w i l a j a h ɲ a
martin	m a r t i n
singkat	s i ŋ k a t
urusan	u r u s a n
tempur	t ə m p u r
skotlandia	s k o t l a n d i a
fitur	f i t u r
kering	k ə r i ŋ
memerintah	m ə m ə r i n t a h
mengakui	m ə ŋ a k u i
definisi	d e f i n i s i
setahun	s ə t a h u n
perdamaian	p ə r d a m a j a n
argentina	a r ɡ e n t i n a
ciri	t͡ʃ i r i
tepi	t ə p i
kumpulan	k u m p u l a n
berukuran	b ə r u k u r a n
melindungi	m ə l i n d u ŋ i
dibunuh	d i b u n u h
gabungan	ɡ a b u ŋ a n
henry	h ə n r j
gajah	ɡ a d͡ʒ a h
memerintahkan	m ə m ə r i n t a h k a n
didukung	d i d u k u ŋ
bersenjata	b ə r s ə n d͡ʒ a t a
mataram	m a t a r a m
diganti	d i ɡ a n t i
lepas	l ə p a s
menerbitkan	m ə n ə r b i t k a n
digambarkan	d i ɡ a m b a r k a n
wafat	w a f a t
mencatat	m ə ɲ t͡ʃ a t a t
kerusakan	k ə r u s a k a n
alternatif	a l t ə r n a t i f
turut	t u r u t
konferensi	k o n f ə r e n s i
situasi	s i t u a s i
region	r e ɡ i o n
siaran	s i a r a n
pembawa	p ə m b a w a
eksekutif	e k s ə k u t i f
komite	k o m i t e
pagi	p a ɡ i
merek	m e r ə k
bacaan	b a t͡ʃ a a n
sapi	s a p i
bakteri	b a k t e r i
menempati	m ə n ə m p a t i
muhammadiyah	m u h a m m a d i j a h
aturan	a t u r a n
produser	p r o d u s ə r
toko	t o k o
merdeka	m ə r d e k a
diperkenalkan	d i p ə r k ə n a l k a n
dokumen	d o k u m e n
tahunan	t a h u n a n
minuman	m i n u m a n
kartu	k a r t u
dimasukkan	d i m a s u k k a n
rangkaian	r a ŋ k a j a n
bangsawan	b a ŋ s a w a n
kolonial	k o l o n i a l
munisipalitas	m u n i s i p a l i t a s
signifikan	s i ɡ n i f i k a n
dikarenakan	d i k a r ə n a k a n
kala	k a l a
berkuasa	b ə r k u a s a
kertas	k ə r t a s
pegawai	p ə ɡ a w a j
dpr	d e p e e r
medali	m ə d a l i
manga	m a n ɡ a
bersama-sama	b ə r s a m a s a m a
pengalaman	p ə ŋ a l a m a n
sepenuhnya	s ə p ə n u h ɲ a
surya	s u r j a
keuntungan	k ə u n t u ŋ a n
gula	ɡ u l a
selamat	s ə l a m a t
kesenian	k ə s e n i a n
letkol	l e t k o l
pondok	p o n d o ʔ
norwegia	n o r w e ɡ i a
perwira	p ə r w i r a
gangguan	ɡ a ŋ ɡ u a n
keagamaan	k ə a ɡ a m a a n
prestasi	p r e s t a s i
diakui	d i a k u i
mitologi	m i t o l o ɡ i
putaran	p u t a r a n
lagu-lagu	l a ɡ u l a ɡ u
istimewa	i s t i m e w a
da	d a
dibintangi	d i b i n t a ŋ i
sejarawan	s ə d͡ʒ a r a w a n
prinsip	p r i n s i p
turnamen	t u r n a m e n
dikirim	d i k i r i m
lembah	l ə m b a h
prof	p r o f
profil	p r o f i l
rasi	r a s i
dikeluarkan	d i k ə l u a r k a n
ditentukan	d i t ə n t u k a n
bertanggung	b ə r t a ŋ ɡ u ŋ
muara	m u a r a
kapasitas	k a p a s i t a s
peta	p e t a
dekade	d e k a d ə
dirancang	d i r a n t͡ʃ a ŋ
dipengaruhi	d i p ə ŋ a r u h i
war	w a r
adipati	a d i p a t i
alumni	a l u m n i
mengangkat	m ə ŋ a ŋ k a t
raksasa	r a k s a s a
didasarkan	d i d a s a r k a n
minangkabau	m i n a ŋ k a b a w
semenanjung	s ə m ə n a n d͡ʒ u ŋ
pendirian	p ə n d i r i a n
tom	t o m
warisan	w a r i s a n
samudra	s a m u d r a
efektif	e f e k t i f
adapun	a d a p u n
itulah	i t u l a h
angkasa	a ŋ k a s a
terbanyak	t ə r b a ɲ a k
siapa	s i a p a
hidupnya	h i d u p ɲ a
penonton	p ə n o n t o n
penerima	p ə n ə r i m a
demokrasi	d e m o k r a s i
beragama	b ə r a ɡ a m a
ekor	e k o r
hakim	h a k i m
statistik	s t a t i s t i k
sawah	s a w a h
tur	t u r
regional	r e ɡ i o n a l
sambil	s a m b i l
praktik	p r a k t i k
dinamai	d i n a m a i
anjing	a n d͡ʒ i ŋ
portugal	p o r t u ɡ a l
virus	v i r u s
kendali	k ə n d a l i
mengunjungi	m ə ŋ u n d͡ʒ u ŋ i
ditayangkan	d i t a j a ŋ k a n
benar-benar	b ə n a r b ə n a r
ditambah	d i t a m b a h
sinar	s i n a r
perayaan	p ə r a j a a n
mil	m i l
mengklaim	m ə ŋ k l a i m
memperkenalkan	m ə m p ə r k ə n a l k a n
semacam	s ə m a t͡ʃ a m
melarikan	m ə l a r i k a n
melahirkan	m ə l a h i r k a n
kesatuan	k ə s a t u a n
balik	b a l i ʔ
kebebasan	k ə b e b a s a n
dinding	d i n d i ŋ
yohanes	j o h a n ə s
gagasan	ɡ a ɡ a s a n
pasifik	p a s i f i k
diciptakan	d i t͡ʃ i p t a k a n
telur	t ə l u r
kolonel	k o l o n e l
hadir	h a d i r
musisi	m u s i s i
terjemahan	t ə r d͡ʒ ə m a h a n
lawan	l a w a n
duta	d u t a
klan	k l a n
jantung	d͡ʒ a n t u ŋ
makna	m a k n a
perekonomian	p ə r e k o n o m i a n
bencana	b ə n t͡ʃ a n a
ditangkap	d i t a ŋ k a p
kariernya	k a r i ə r ɲ a
rangka	r a ŋ k a
ed	e d
angkutan	a ŋ k u t a n
mahkota	m a h k o t a
basis	b a s i s
strategi	s t r a t e ɡ i
soekarno	s u k a r n o
dinas	d i n a s
sebagainya	s ə b a ɡ a i ɲ a
penjara	p ə ɲ d͡ʒ a r a
persamaan	p ə r s a m a a n
curah	t͡ʃ u r a h
kotamadya	k o t a m a d j a
membaca	m ə m b a t͡ʃ a
kekerasan	k ə k ə r a s a n
kutai	k u t a j
langkah	l a ŋ k a h
independen	i n d ə p e n d ə n
dampak	d a m p a k
pemikiran	p ə m i k i r a n
aspek	a s p e k
satunya	s a t u ɲ a
kehormatan	k ə h o r m a t a n
patung	p a t u ŋ
stabil	s t a b i l
tabel	t a b e l
unik	u n i k
biologi	b i o l o ɡ i
menghindari	m ə ŋ h i n d a r i
ditunjuk	d i t u n d͡ʒ u k
song	s o ŋ
masehi	m a s e h i
menentang	m ə n ə n t a ŋ
modal	m o d a l
panggung	p a ŋ ɡ u ŋ
memerlukan	m ə m ə r l u k a n
dipindahkan	d i p i n d a h k a n
takhta	t a x t a
batas-batas	b a t a s b a t a s
bayi	b a j i
kamar	k a m a r
penyebab	p ə ɲ ə b a b
umur	u m u r
duduk	d u d u k
legenda	l ə ɡ e n d a
jangka	d͡ʒ a ŋ k a
mengakhiri	m ə ŋ a x i r i
kasih	k a s i h
detik	d ə t i k
ibnu	i b n u
majapahit	m a d͡ʒ a p a h i t
real	r i l
koleksi	k o l e k s i
batalyon	b a t a l j o n
sikap	s i k a p
pakistan	p a k i s t a n
krisis	k r i s i s
adik	a d i k
pergerakan	p ə r ɡ ə r a k a n
haji	h a d͡ʒ i
padat	p a d a t
sejenis	s ə d͡ʒ ə n i s
bukanlah	b u k a n l a h
pesantren	p ə s a n t r e n
pok	p o k
sari	s a r i
fiksi	f i k s i
kamu	k a m u
dimainkan	d i m a i n k a n
nagari	n a ɡ a r i
garam	ɡ a r a m
pemekaran	p ə m ə k a r a n
meluncurkan	m ə l u n t͡ʃ u r k a n
mengundurkan	m ə ŋ u n d u r k a n
sewaktu	s ə w a k t u
mengumpulkan	m ə ŋ u m p u l k a n
sentai	s ə n t a i
invasi	i n v a s i
seniman	s ə n i m a n
smk	e s e m k a
nusa	n u s a
sepeda	s ə p e d a
iman	i m a n
server	s e r v ə r
menetap	m ə n e t a p
menandatangani	m ə n a n d a t a ŋ a n i
guna	ɡ u n a
persegi	p ə r s ə ɡ i
label	l a b e l
bergantung	b ə r ɡ a n t u ŋ
citra	t͡ʃ i t r a
kejahatan	k ə d͡ʒ a h a t a n
mendengar	m ə n d ə ŋ a r
debut	d ə b u t
drum	d r i m
pemukiman	p ə m u k i m a n
sinyal	s i ɲ a l
selat	s ə l a t
sunan	s u n a n
melambangkan	m ə l a m b a ŋ k a n
menceritakan	m ə n t͡ʃ ə r i t a k a n
punya	p u ɲ a
anaknya	a n a k ɲ a
jati	d͡ʒ a t i
art	a e r t e
pengganti	p ə ŋ ɡ a n t i
menjalani	m ə n d͡ʒ a l a n i
up	u p e
profesor	p r o f e s o r
konstruksi	k o n s t r u k s i
aslinya	a s l i ɲ a
hidrogen	h i d r o ɡ e n
nazi	n a z i
pengakuan	p ə ŋ a k u a n
pelatihan	p ə l a t i h a n
partikel	p a r t i k ə l
perairan	p ə r a i r a n
bom	b o m
organik	o r ɡ a n i k
trans	t r a n s
oksigen	o k s i ɡ e n
seksual	s ə k s u a l
menderita	m ə n d ə r i t a
mengalir	m ə ŋ a l i r
ibadah	i b a d a h
genus	ɡ e n u s
izin	i z i n
roda	r o d a
formal	f o r m a l
irak	i r a k
salib	s a l i b
hiburan	h i b u r a n
markas	m a r k a s
strategis	s t r a t ə ɡ i s
agak	a ɡ a k
menambahkan	m ə n a m b a h k a n
yerusalem	j e r u s a l e m
armenia	a r m e n i a
pangkalan	p a ŋ k a l a n
royal	r o j a l
pesta	p e s t a
ortodoks	o r t o d o k s
abdullah	a b d u l l a h
teh	t e
paulus	p a u l u s
investasi	i n v e s t a s i
akar	a k a r
penurunan	p ə n u r u n a n
karakteristik	k a r a k t ə r i s t i k
del	d ə l
supaya	s u p a j a
tamu	t a m u
menghabiskan	m ə ŋ h a b i s k a n
damai	d a m a j
diatur	d i a t u r
bagus	b a ɡ u s
kedudukan	k ə d u d u k a n
elemen	e l ə m e n
halnya	h a l ɲ a
league	l e a ɡ w e
am	a m
be	b e
menyerahkan	m ə ɲ ə r a h k a n
negatif	n ə ɡ a t i f
ditempatkan	d i t ə m p a t k a n
adam	a d a m
bervariasi	b ə r v a r i a s i
golden	ɡ o l d e n
klasifikasi	k l a s i f i k a s i
teknis	t e k n i s
frekuensi	f r e k u e n s i
palestina	p a l e s t i n a
mengirimkan	m ə ŋ i r i m k a n
berpengaruh	b ə r p ə ŋ a r u h
penulisan	p ə n u l i s a n
masakan	m a s a k a n
riwayat	r i w a j a t
sahabat	s a h a b a t
berlanjut	b ə r l a n d͡ʒ u t
tropis	t r o p i s
santa	s a n t a
animasi	a n i m a s i
menyebar	m ə ɲ ə b a r
ide	i d e
serbia	s e r b i a
karyanya	k a r j a ɲ a
infeksi	i n f e k s i
selandia	s ə l a n d i a
komposisi	k o m p o s i s i
wajib	w a d͡ʒ i b
bertujuan	b ə r t u d͡ʒ u a n
tampaknya	t a m p a ʔ ɲ a
ukraina	u k r a i n a
senapan	s ə n a p a n
gerbang	ɡ ə r b a ŋ
pensiun	p ə n s i u n
baja	b a d͡ʒ a
organisme	o r ɡ a n i s m ə
komik	k o m i k
perlawanan	p ə r l a w a n a n
soeharto	s u h a r t o
komedi	k o m e d i
kg	k ɡ
kunci	k u n t͡ʃ i
latihan	l a t i h a n
aman	a m a n
identitas	i d e n t i t a s
kalian	k a l i a n
iklan	i k l a n
mineral	m i n ə r a l
bertindak	b ə r t i n d a k
master	m a s t ə r
diduga	d i d u ɡ a
gugur	ɡ u ɡ u r
akibatnya	a k i b a t ɲ a
kesalahan	k ə s a l a h a n
kanker	k a n k ə r
dna	d e e n a
sun	s u n
dibawah	d i b a w a h
kata-kata	k a t a k a t a
kira-kira	k i r a k i r a
pendekatan	p ə n d ə k a t a n
murni	m u r n i
budak	b u d a k
roh	r o h
materi	m a t e r i
peperangan	p ə p ə r a ŋ a n
sehari-hari	s e h a r i h a r i
rumania	r u m a n i a
setidaknya	s ə t i d a k ɲ a
gelap	ɡ ə l a p
konsentrasi	k o n s e n t r a s i
hal-hal	h a l h a l
palembang	p a l e m b a ŋ
kuala	k u a l a
las	l a s
apapun	a p a p u n
keterangan	k ə t ə r a ŋ a n
gua	ɡ u a
kaca	k a t͡ʃ a
lantai	l a n t a j
kekalahan	k ə k a l a h a n
peninggalan	p ə n i ŋ ɡ a l a n
logo	l o ɡ o
letak	l e t a k
seekor	s ə e k o r
kotanya	k o t a ɲ a
material	m a t e r i a l
berkat	b ə r k a t
rel	r e l
mulia	m u l i a
cocok	t͡ʃ o t͡ʃ o k
pangan	p a ŋ a n
pendudukan	p ə n d u d u k a n
ribu	r i b u
tk	t e k a
lukisan	l u k i s a n
mengacu	m ə ŋ a t͡ʃ u
fokus	f o k u s
menyelamatkan	m ə ɲ ə l a m a t k a n
setia	s ə t i a
banyaknya	b a ɲ a ʔ ɲ a
fase	f a s ə
kacang	k a t͡ʃ a ŋ
ras	r a s
biji	b i d͡ʒ i
kedatangan	k ə d a t a ŋ a n
ruangan	r u a ŋ a n
sisa	s i s a
syarat	ʃ a r a t
pengisi	p ə ŋ i s i
otoritas	o t o r i t a s
agen	a ɡ e n
dikelola	d i k ə l o l a
mengingat	m ə ŋ i ŋ a t
cd	t͡ʃ d
asosiasi	a s o s i a s i
batuan	b a t u a n
personel	p ə r s o n e l
insiden	i n s i d e n
nasi	n a s i
memakan	m ə m a k a n
memanfaatkan	m ə m a n f a a t k a n
ni	n i
tersisa	t ə r s i s a
berkisar	b ə r k i s a r
internal	i n t ə r n a l
memengaruhi	m ə m ə ŋ a r u h i
daniel	d a n i e l
mengajukan	m ə ŋ a d͡ʒ u k a n
persetujuan	p ə r s ə t u d͡ʒ u a n
pemberian	p ə m b ə r i a n
berganti	b ə r ɡ a n t i
ancaman	a n t͡ʃ a m a n
setuju	s ə t u d͡ʒ u
uu	u u
susu	s u s u
dibutuhkan	d i b u t u h k a n
sir	s i r
berjarak	b ə r d͡ʒ a r a k
menjelang	m ə n d͡ʒ ə l a ŋ
bekasi	b ə k a s i
penggemar	p ə ŋ ɡ ə m a r
sdn	s d n
normal	n o r m a l
produsen	p r o d u s e n
tol	t o l
variasi	v a r i a s i
finlandia	f i n l a n d i a
